2025-03-04 22:24:05,194 | WARNING | Unauthorized request to create user... redirecting to login
2025-03-04 22:24:07,299 | INFO | No token found
2025-03-04 22:24:07,300 | WARNING | Unauthorized request to create user... redirecting to login
2025-03-04 22:24:08,833 | INFO | No token found
2025-03-04 22:24:08,833 | WARNING | Unauthorized request to create user... redirecting to login
2025-03-04 22:24:14,583 | INFO | No token found
2025-03-04 22:24:16,548 | INFO | User admin is attempting to log in
2025-03-04 22:24:16,813 | INFO | User admin has successfully logged in
2025-03-04 22:24:16,814 | INFO | User admin has successfully logged in
2025-03-04 22:24:34,132 | INFO | User creation request for new user fake
2025-03-04 22:24:34,414 | INFO | Successfully created new user: fake
2025-03-04 22:24:36,945 | INFO | User admin is listing all groups
2025-03-04 22:24:36,948 | INFO | User admin is listing all permissions
2025-03-04 22:24:42,162 | INFO | User admin is assigning user ID 3 to group ID 2
2025-03-04 22:24:42,188 | INFO | User admin is listing all groups
2025-03-04 22:24:42,192 | INFO | User admin is listing all permissions
2025-04-04 09:52:10,307 | INFO | Starting central process...
2025-04-04 09:52:10,307 | INFO | Processes created. Starting webserver and aggregator processes...
2025-04-04 09:52:10,309 | INFO | Starting aggregator process...
2025-04-04 09:52:10,485 | INFO | Using local sqlite database
2025-04-04 09:52:10,584 | INFO | Starting main loop
2025-04-04 09:52:11,045 | INFO | Using local sqlite database
2025-04-04 09:52:11,047 | INFO | Using local sqlite database
2025-04-04 09:52:11,547 | INFO | LDAP connection initialized
2025-04-04 09:52:11,548 | INFO | LDAP connection initialized
2025-04-04 09:52:11,716 | INFO | Default permissions initialized successfully
2025-04-04 09:52:11,716 | INFO | Default permissions initialized successfully
2025-04-04 09:52:11,724 | INFO | Default groups setup successfully
2025-04-04 09:52:11,724 | INFO | Default groups setup successfully
2025-04-04 09:52:11,724 | INFO | RBAC Permissions initialized on server startup
2025-04-04 09:52:11,724 | INFO | RBAC Permissions initialized on server startup
2025-04-04 09:52:18,249 | INFO | User abra-sysadmin-1 is attempting to log in via LDAP
2025-04-04 09:52:18,418 | INFO | User abra-sysadmin-1 authenticated successfully via LDAP
2025-04-04 09:52:18,467 | INFO | User abra-sysadmin-1 has successfully logged in via LDAP
2025-04-04 09:56:50,616 | INFO | No token found
2025-04-04 10:21:32,231 | INFO | Received exit signal for central process. Shutting down webserver and aggregator processes...
2025-04-04 10:21:32,232 | INFO | Shutdown handler triggered by signal.
2025-04-04 10:21:32,232 | INFO | Terminating process 3372266
2025-04-04 10:21:32,235 | INFO | Shutdown handler triggered by signal.
2025-04-04 10:21:32,235 | INFO | Main task cancelled gracefully.
2025-04-04 10:21:53,591 | INFO | Starting central process...
2025-04-04 10:21:53,591 | INFO | Processes created. Starting webserver and aggregator processes...
2025-04-04 10:21:53,593 | INFO | Starting aggregator process...
2025-04-04 10:21:53,765 | INFO | Using local sqlite database
2025-04-04 10:21:53,862 | INFO | Starting main loop
